ສະບາຍດີ,ສະບາຍດີ ມີຫຍັງໃຫ້ຊ່ວຍບໍ
ຂໍໂທດ,ບໍ່ເປັນຫຍັງ
ຂອບໃຈ,ໂດຍ ຍິນດີທີ່ໄດ້ຊ່ວຍເຫຼືອ
ໃຜເປັນຫົວໜ້າພາກວິຊາວິທະຍາສາດຄອມພິວເຕີ,ຫົວໜ້າພາກວິຊາວິທະຍາສາດຄອມພິວເຕີແມ່ນ ອຈ.ປອ. ລັດສະໝີ ຈິດຕະວົງ
ໃຜເປັນຮອງຫົວໜ້າພາກວິຊາວິທະຍາສາດຄອມພິວເຕີ,ຮອງຫົວໜ້າພາກວິຊາວິທະຍາສາດຄອມພິວເຕີແມ່ນ ຊອ.ປທ. ອໍລະດີ ຄຳມະນີວົງ ແລະ ອຈ.ປທ. ອາມອນ ຈັນທະພາວົງ
ພາກວິຊາວິທະຍາສາດຄອມພິວເຕີສ້າງຂຶ້ນໃນປີໃດ,ພາກວິຊາວິທະຍາສາດຄອມພິວເຕີສ້າງຂຶ້ນໃນສົກປີ 2004-2005
ພາກວິຊາວິທະຍາສາດຄອມພິວເຕີມີຈັກຫຼັກສູດ,"ພາກວິຊາວິທະຍາສາດຄອມພິວເຕີປະກອບມີ 3 ຫຼັກສູດຄື: ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ, ຫຼັກສູດປະລິນຍາຕີ ແລະ ຫຼັກສູດປະລິນຍາໂທ"
ພາກວິຊາວິທະຍາສາດຄອມພິວເຕີມີຈັກສາຂາ,"ພາກວິຊາວິທະຍາສາດຄອມພິວເຕີມີທັງໝົດ 3 ສາຂາຄື: ສາຂາວິທະຍາສາດຄອມພິວເຕີ, ສາຂາການພັດທະນາເວັບໄຊ ແລະ ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ"
ພາກວິຊາວິທະຍາສາດຄອມພິວເຕີມີຫຼັກສູດໃດແດ່,"ພາກວິຊາວິທະຍາສາດຄອມພິວເຕີປະກອບມີ 3 ຫຼັກສູດດັ່ງນີ້: ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ, ຫຼັກສູດປະລິນຍາຕີ ແລະ ຫຼັກສູດປະລິນຍາໂທ"
ພາກວິຊາວິທະຍາສາດຄອມພິວເຕີມີສາຂາຫຍັງແດ່,"ພາກວິຊາວິທະຍາສາດຄອມພິວເຕີປະກອບມີ 3 ສາຂາຄື: ສາຂາວິທະຍາສາດຄອມພິວເຕີ, ສາຂາການພັດທະນາເວັບໄຊ ແລະ ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ"
ມີຫຼັກສູດປະລິນຍາເອກບໍ,ໃນປັດຈຸບັນຍັງບໍ່ທັນມີຫຼັກສູດປະລິນຍາເອກເທື່ອ
