"ລາຍວິຊາຮຽນ 2023-2024","","","","","","","","","","","","",""
"1","115LS101","ລາວສຶກສາ1","2(2-0-4)","BSCBIO","1","1","1","2023-2024","2","2","20","37",""
"2","145PY101","ຈິດຕະວິທະຍາ​ທົ່ວ​ໄປ","2(2-0-4)","BSCBIO","1","1","1","2023-2024","2","2","","",""
"3","205BI111x","ພື້ນຖານຊີວະວິທະຍາ","3(2-2-5)","BSCBIO","1","1","2","2023-2024","3","3","","",""
"4","205CA111","​ແຄລຄູ​ລັດສ໌ 1","3(2-2-5)","BSCBIO","1","1","2","2023-2024","3","3","","",""
"5","205CH111","ເຄມີສາດ 1","3(3-0-6)","BSCBIO","1","1","2","2023-2024","3","3","","",""
"6","205CL111","ທົດລອງເຄມີສາດ 1","1(0-3-1)","BSCBIO","1","1","2","2023-2024","1","1","","",""
"7","205ES101","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ 1","2(0-4-2)","BSCBIO","1","1","1","2023-2024","2","2","","",""
"8","205GP111x","ຟິຊິກສາດທົ່ວໄປ","3(2-2-5)","BSCBIO","1","1","2","2023-2024","3","3","","",""
"9","205PL111","ທົດລອງຟີຊິກສາດ 1","1(0-2-1)","BSCBIO","1","1","2","2023-2024","1","1","","",""
"29","135LS102","ລາວ​ສຶກສາ2","2(2-0-4)","BSCBIO","1","2","1","2023-2024","2","2","17","",""
"30","205CF111","ຄອມພີວເຕີພື້ນຖານ","3(2-2-5)","BSCBIO","1","2","2","2023-2024","3","3","","",""
"31","205EC122x","ນິເວດວິທະຍາ","3(2-2-5)","BSCBIO","1","2","2","2023-2024","3","3","","",""
"32","205ES102","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ2","2(0-4-2)","BSCBIO","1","2","1","2023-2024","2","2","","",""
"33","205FS111","ສະຖິຕິ​ພື້ນຖານ","3(2-2-5)","BSCBIO","1","2","2","2023-2024","3","3","","",""
"34","205OG221","ເຄມີອົງຄະທາດ","3(2-2-5)","BSCBIO","1","2","2","2023-2024","3","3","","",""
"35","205TB112","ເທັກນິກທາງຊີວະວິທະຍາ","1(0-2-1)","BSCBIO","1","2","2","2023-2024","1","1","","",""
"10","205AA211","ເຄມີວິເຄາະ","3(2-2-5)","BSCBIO","2","1","2","2023-2024","3","3","17","34",""
"11","205BC221","ຊີວະເຄມີ 1","3(2-2-5)","BSCBIO","2","1","12","2023-2024","3","3","","",""
"12","205EB221","ພາສາອັງກິດສໍາຫຼັບຊີວະວິທະຍາ 3","2(0-4-2)","BSCBIO","2","1","2","2023-2024","2","2","","",""
"13","205IV221","ສັດບໍ່ມີກະດູກສັນຫຼັງ","3(2-2-5)","BSCBIO","2","1","12","2023-2024","3","3","","",""
"14","205MI221","ຈຸລະຊີບວິທະຍາທົ່ວໄປ        ","3(2-2-5)","BSCBIO","2","1","12","2023-2024","3","3","","",""
"15","205PM221","ສັນຖານວິທະຍາຂອງພືດ","3(2-2-5)","BSCBIO","2","1","2","2023-2024","3","3","","",""
"36","205AP222","ກາຍຍະວິພາກສາດພືດ","3(2-2-5)","BSCBIO","2","2","12","2023-2024","3","3","17","",""
"37","205BC222","ຊີວະເຄມີ 2","3(2-2-5)","BSCBIO","2","2","12","2023-2024","3","3","","",""
"38","205EB222","ພາສາອັງກິດສໍາຫຼັບຊີວະວິທະຍາ 4","2(0-4-2)","BSCBIO","2","2","2","2023-2024","2","2","","",""
"39","205GE222","ກຳມະພັນວິທະຍາ","3(2-2-5)","BSCBIO","2","2","12","2023-2024","3","3","","",""
"40","205ND201","ສຶກສາປ້ອງກັນຕົວ","3(0-2-7)","BSCBIO","2","2","1","2023-2024","3","3","","",""
"41","205VT222","ສັດມີກະດູກສັນຫຼັງ","3(2-2-5)","BSCBIO","2","2","12","2023-2024","3","3","","",""
"16","115P0101","ການເມືອງ","2(2-0-4)","BSCBIO","3","1","1","2023-2024","2","2","17","36",""
"17","205AT321","ຫຼັກອະນຸກົມວິຖານສັດ","3(2-2-5)","BSCBIO","3","1","12","2023-2024","3","3","","",""
