ພາກວິຊາວິທະຍາສາດຄອມພິວເຕີສ້າງຂຶ້ນໃນປີໃດ,ພາກວິຊາວິທະຍາສາດຄອມພິວເຕີສ້າງຂຶ້ນໃນສົກປີ 2004-2005
ພາກວິຊາວິທະຍາສາດຄອມພິວເຕີມີຈັກສາຂາ,ມີ 3 ສາຂາ
ພາກວິຊາວິທະຍາສາດຄອມພິວເຕີມີຈັກຫຼັກສູດ,ມີ 3 ຫຼັກສູດ
ພາກວິຊາວິທະຍາສາດຄອມພິວເຕີມີຫຼັກສູດໃດແດ່,"ຕໍ່ເນື່ອງປະລິນຍາຕີ, ປະລິນຍາຕີ, ປະລິນຍາໂທ"
ພາກວິຊາວິທະຍາສາດຄອມພິວເຕີມີສາຂາຫຍັງແດ່,"ວິທະຍາສາດຄອມພິວເຕີ, ພັດທະນາເວັບໄຊ, ພັດທະນາໂປຣແກຣມ"
ມີຫຼັກສູດປະລິນຍາເອກບໍ,ຕອນນີ້ຍັງບໍ່ທັນມີຫຼັກສູດປະລິນຍາເອກ
ມີຫຼັກສູດປະລິນຍາໂທບໍ,ມີສາຂາວິທະຍາສາດຄອມພິວເຕີ
ມີຫຼັກສູດຊັ້ນສູງບໍ,ຍັງບໍ່ທັນມີຫຼັກສູດຊັ້ນສູງ
ມີຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີບໍ,ມີສາຂາວິທະຍາສາດຄອມພິວເຕີ
ຫຼັກສູດປະລິນຍາໂທມີຈັກສາຂາ,ມີ 1 ສາຂາ
ຫຼັກສູດປະລິນຍາຕີມີຈັກສາຂາ,ມີ 3 ສາຂາ
ຫຼັກສູດປະລິນຍາເອກມີຈັກສາຂາ,ຕອນນີ້ຍັງບໍ່ທັນມີຫຼັກສູດປະລິນຍາເອກ
ຫຼັກສູດຕໍ່ເນື່ອງມີຈັກສາຂາ,ມີ 1 ສາຂາ
ສາຂາວິທະຍາສາດຄອມພິວເຕີມີຈັກຫຼັກສູດ,ມີ 3 ຫຼັກສູດ
ສາຂາວິທະຍາສາດຄອມພິວເຕີມີຫຼັກສູດໃດແດ່,"ປະລິນຍາຕີ, ປະລິນຍາຕີຕໍ່ເນື່ອງ ແລະ ປະລິນຍາໂທ"
ສາຂາພັດທະນາໂປຣແກຣມມີຈັກຫຼັກສູດ,ມີ 1 ຫຼັກສູດ
ສາຂາພັດທະນາໂປຣແກຣມມີຫຼັກສູດໃດແດ່,ປະລິນຍາຕີ
ສາຂາພັດທະນາເວັບໄຊມີຈັກຫຼັກສູດ,ມີ 1 ຫຼັກສູດ
ສາຂາພັດທະນາເວັບໄຊມີຫຼັກສູດໃດແດ່,ປະລິນຍາຕີ
ໃຜເປັນຄົນຮັບຜິດຊອບພາກວິຊາວິທະຍາສາດຄອມພິວເຕີ,"ຄົນຮັບຜິດຊອບຈະເປັນຫົວໜ້າພາກວິຊາວິທະຍາສາດຄອມພິວເຕີ ອຈ.ປອ.ລັດສະໝີ ຈິດຕະວົງ, ຮອງຫົວໜ້າພາກວິຊາ ຊອ.ອໍລະດີ ຄຳມະນີວົງ ແລະ ອຈ. ອາມອນ ຈັນທະພາວົງ"
ຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີແລ້ວໄດ້ຫຍັງແນ່,"ຫຼັງຈາກຮຽນຈົບຫຼັກສູດສາຂາວິທະຍາສາດຄອມພິວເຕີແລ້ວຈະມີຄວາມຮູ້ຄວາມສາມາດ, ມີປະສົບການຄວາມຊ່ຽວຊານໃນການນຳເອົາຄວາມຮູ້ກ່ຽວກັບວິທີການຄົ້ນຄວ້າວິໄຈດ້ານວິທະຍາສາດຄອມພິວເຕີເຂົ້າໃນການວິເຄາະບັນຫາ ແລະ ອອກແບບ ວິທີແກ້ບັນຫາຕ່າງໆໃນສັງຄົມໄດ້ຢ່າງຖືກຕ້ອງ ນອກຈາກນີ້ຍັງມີຫົວຄິດປະດິດສ້າງນະວັດຕະກຳເຕັກໂນໂລຊີ ແລະ ວິເຄາະບັນຫາຢ່າງມີຫຼັກການວິທະຍາສາດ"
ຈົບສາຂາວິທະຍາສາດຄອມພິວເຕີມາແລ້ວເຮັດວຽກຫຍັງໄດ້ແນ່,"ຜູ້ທີ່ຈົບຫຼັກສູດປະລິນຍາຕີສາຂາ ວິທະຍາສາດຄອມພິວເຕີ ສາມາດປະກອບອາຊີບໄດ້ຫຼາກຫຼາຍເຊັ່ນວ່າ ນັກວິທະຍາສາດຄອມພິວເຕີ, ນັກວິທະຍາສາດຂໍ້ມູນ, ນັກວິເຄາະ-ອອກແບບລະບົບເຕັກໂນໂລຊີ ແລະ ນັກພັດທະນາຊອບແວ ນອກນັ້ນຍັງສາມາດເປັນພະນັກງານໃນອົງການຈັດຕັ້ງຕ່າງໆ ທັງພາກລັດ ແລະ ເອກະຊົນ ຫຼື ຈະສາມາດເປັນທີ່ປຶກສາ, ນັກຕົ້ນຄວ້າ-ພັດທະນາເຕັກໂນໂລຊີ ແລະ ນະວັດຕະກຳ ຫຼືຈະປະກອບອາຊີບເປັນຂອງຕົນເອງກໍໄດ້"
ຖ້າຢາກເຮັດວຽກເປັນນັກພັດທະນາຊອບແວແມ່ນຮຽນສາຍໃດ,ສາມາດເລືອກຮຽນໄດ້ທຸກສາຂາໃນພາກວິຊາວິທະຍາສາດຄອມພິວເຕີໄດ້
ສາຂາວິທະຍາສາດຄອມພິວເຕີຮຽນກ່ຽວກັບຫຍັງ,ການສືບຄົ້ນຂໍ້ມູນຂ່າວສານ
ພັດທະນາເກມແມ່ນຮຽນໂຕໃດ,ເກມຈັດເປັນຊອບແວເຊິ່ງສາມາດເລືອກຮຽນໃນພາກວິຊາວິທະຍາສາດຄອມພິວເຕີ
ສາຂາວິທະຍາສາດຄອມພິວເຕີຮຽນຫຍັງແດ່,ການຂຽນໂປຣແກຣມດ້ວຍພາສາC
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີແນ່,ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີແມ່ນມີ 4 ປີ ແຕ່ລະປີມີ 2 ພາກຮຽນ ຢາກຮູ້ລາຍວິຊາຮຽນຂອງປີໃດ ແລະ ພາກຮຽນໃດ?
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີຂອງປີ 1 ພາກຮຽນ 1,"ລາຍວິຊາຮຽນຂອງປີ 1 ພາກຮຽນ 1 ສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີແມ່ນມີ: ລາວສຶກສາ1, ພາສາອັງກິດສຳລັບວິທະຍາສາດ1, ຄະນິດສາດສຳລັບຄອມພິວເຕີ1, ລະບົບຄອມພິວເຕີ, ການນຳໃຊ້ຊອບແວພື້ນຖານ, ການຂຽນໂປຣແກຣມດ້ວຍພາສາC, ຄວາມຮູ້ພື້ນຖານກ່ຽວກັບຖານຂໍ້ມູນ(MS Access) ແລະ ຈິດຕະວິທະຍາທົ່ວໄປ "
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີຂອງປີ 1 ພາກຮຽນ 2,"ລາຍວິຊາຮຽນຂອງປີ 1 ພາກຮຽນ 2 ສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີແມ່ນມີ ສະຖິຕິພື້ນຖານ, ແຄນຄູລັດສ໌1, ພາສາອັງກິດສຳລັບວິທະຍາສາດ2, ລາວສຶກສາ2, ລະບົບຖານຂໍ້ມູນ(Database Systems), ການຂຽນໂປຣແກຣມພາສາ Python ສຳລັບ Data Science ແລະ ລະບົບປະຕິບັດການ(Operating Systems)"
